Month,Date,Order #,Owner,Classification ,Type,Customer,Ship to Location,Total Bags,24K,26K,28K,30K,32K,Invoice Amount,Food Cost,Shipping
May,5/29/25,9538160073/648,Lindsey,Walmart,Digital,Walmart DC ,"Fort Worth, TX",200,50,50,25,50,25,11069.5,5550.75,1233.54
May,5/29/25,6678702540/643,Lindsey,Walmart,Digital,Walmart DC ,"Salt Lake City, UT",200,50,50,25,50,25,11069.5,5550.75,1171.64
May,5/29/25,5458588466/644,Lindsey,Walmart,Digital,Walmart DC ,"Davenport, FL",200,50,50,25,50,25,11069.5,5550.75,1760.95
May,5/29/25,5229462728/645,Lindsey,Walmart,Digital,Walmart DC ,"Topeka, KS",200,50,50,25,50,25,11069.5,5550.75,788.4
May,5/29/25,4766032771/650,Lindsey,Walmart,Digital,Walmart DC ,"Plainfield, IN",100,0,50,25,25,0,5447,2628.5,606.59
May,5/29/25,3577563935/646,Lindsey,Walmart,Digital,Walmart DC ,"Shippensburg, PA",200,50,50,25,50,25,11069.5,5550.75,1174.93
May,5/29/25,2858575790/647,Lindsey,Walmart,Digital,Walmart DC ,"Bethlehem, PA",200,50,50,25,50,25,11069.5,5550.75,1160.46
May,5/29/25,1858576431/649,Lindsey,Walmart,Digital,Walmart DC ,"Carrolton, GA",100,0,50,25,25,0,5447,2628.5,897.21
May,5/29/25,1510529264/642,Lindsey,Walmart,Digital,Walmart DC ,"Chino, CA",200,50,50,25,50,25,11069.5,5550.75,1506.79
May,5/29/25,1169611305/640,Lindsey,Walmart,Digital,Walmart DC ,"Sacramento, CA",200,50,50,25,50,25,11069.5,5550.75,1517.92
May,5/29/25,1069615329/641,Lindsey,Walmart,Digital,Walmart DC ,"Monroe, OH",200,50,50,25,50,25,11069.5,5550.75,1079.61
June,6/9/25,652,Lindsey,Distributor,Pyhsical,Van Den Bosch,"Holland, MI",150,10,100,0,25,15,6323,4331.35,783.15
June,6/25/25,663,Lindsey,Distributor,Pyhsical,Terra Products,"Iowa City, IA",50,0,50,0,0,0,2184.74,1412,136.24
May,5/2/25,601,Lindsey,Distributor,Pyhsical,Terra Products,"Iowa City, IA",50,0,50,0,0,0,2008.51,1276.5,100
April,4/21/25,593,Lindsey,Distributor,Pyhsical,Positive Slopes 160 ,"Columbus, OH",160,0,160,0,0,0,8000.45,4084.8,1571.66
July,7/2/25,670,Lindsey,Distributor,Pyhsical,Minnesota Feed ACH,"Granite Falls, MN",100,0,100,0,0,0,4017.02,2824,
June,6/12/25,657,Lindsey,Distributor,Pyhsical,Minnesota Feed,"Granite Falls, MN",100,0,100,0,0,0,4017.02,2824,0
April,4/18/25,589,Lindsey,Distributor,Pyhsical,Minnesota Feed,"Granite Falls, MN",300,,200,,100,,12347,7743,
February,2/18/25,522,Lindsey,Distributor,Pyhsical,Minnesota Feed,"Granite Falls, MN",140,0,100,20,20,0,5758.6,3593,0
February,2/6/25,512,Lindsey,Distributor,Pyhsical,Minnesota Feed,"Granite Falls, MN",150,0,150,0,0,0,6148.5,3829.5,0
January,1/1/25,1213453523,Lindsey,Distributor,Pyhsical,Millersburg Feed,"Millersburg, IN",500,0,150,50,300,0,20256.6,12970.74,
June,6/25/25,664,Lindsey,Distributor,Pyhsical,Millersburg Feed,"Millersburg, IN",550,0,0,50,500,0,22363.11,15957,
March,3/27/25,568,Lindsey,Distributor,Pyhsical,Millersburg Feed,"Millersburg, OH",630,0,200,50,380,0,25517.93,16356.84,0
March,3/24/25,561,Lindsey,Distributor,Pyhsical,John Van Den Bosch,"Holland, MI",200,,100,0,100,0,8248,5216.16,1111.44
January,1/1/25,9991,Lindsey,Chewy,Digital,Chewy,National,5384,240,2600,480,1584,480,,,
February,2/1/25,9992,Lindsey,Chewy,Digital,Chewy,National,6664,560,3800,384,1824,96,,,
March,3/31/25,9993,Lindsey,Chewy,Digital,Chewy,National,4312,240,2350,336,1194,192,,,
April,4/30/25,9994,Lindsey,Chewy,Digital,Chewy,National,6338,480,2950,672,1900,336,,,
May,5/30/25,9995,Lindsey,Chewy,Digital,Chewy,National,5702,650,2450,596,1508,498,,,
June,6/30/25,9996,Lindsey,Chewy,Digital,Chewy,National,5330,800,2400,480,1350,300,,,
July,7/31/25,9997,Lindsey,Chewy,Digital,Chewy,National,,,,,,,,,
August,6/31/25,9998,Lindsey,Chewy,Digital,Chewy,National,,,,,,,,,
July,7/11/25,671,Lindsey,Distributor,Physical,Bennetts,"Albany, GA",1152,52,200,0,500,400,50573.5,35214.44,3275
April,4/14/25,583,Lindsey,Distributor,Physical,Bennetts ,"Albany, GA",750,,50,,500,200,33052.5,21167,3650
January,1/1/25,121212,Lindsey,Distributor,Physical,ADMC,"Cottage Grove, MN",746,48,500,48,150,0,29519.54,19424.34,0
July,7/2/25,669,Lindsey,Distributor,Physical,ADMC,"Cottage Grove, MN",350,0,350,0,0,0,13611.5,9884,
June,6/2/25,637,Lindsey,Distributor,Physical,ADMC,"Cottage Grove, MN",996,0,600,96,250,50,38997.04,28312.64,0
April,4/18/25,590,Lindsey,Distributor,Physical,ADMC,"Cottage Grove, MN",1044,48,600,48,300,48,41251.56,27230.56,
February,2/17/25,520,Lindsey,Distributor,Physical,ADMC,"Cottage Grove, MN",848,0,600,0,200,48,33151.52,21889.92,0
January,1/1/25,121212133,Lindsey,Distributor,Physical,Terra Products,Iowa City IA,50,0,50,0,0,0,2167.62,1276.5,118.12